organization_name,coursera_name,coursera_code,star,reviews,level,result
University of Colorado Boulder,The Structured Query Language (SQL),The Structured Query Language (SQL),4.7,626,Beginner level,"['The origins and historical basis for SQL', 'Standard SQL  use and syntax', 'How to code SQL queries in order to analyze data stored in relational databases ']"
IBM,SQL: A Practical Introduction for Querying Databases,SQL: A Practical Introduction for Querying Databases,4.6,285,Beginner level,"['Analyze data within a database using SQL.', 'Create a relational database on Cloud and work with tables.', 'Write SQL statements including SELECT, INSERT, UPDATE, and DELETE.', 'Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins. ']"
Coursera ,Navigating Generative AI: A CEO Playbook,Navigating Generative AI: A CEO Playbook,4.8,47,Beginner level,"['A practical overview of GenAI’s capabilities, limitations, and where it may be heading ', 'How to use GenAI as a ""thought partner” to set strategy, improve decision-making, analyze competition, and communicate more effectively', 'How to enable your organization to use GenAI to create customer value and boost productivity', 'How to move quickly and safely with an understanding of the risks associated with this technology']"
SAS,Getting Started with SAS Programming,Getting Started with SAS Programming,4.8,2991,Beginner level,[]
Duke University,Python Essentials for MLOps,Python Essentials for MLOps,4.3,142,Intermediate level,"['Work with logic in Python, assigning variables and using different data structures.', 'Write, run and debug tests using Pytest to validate your work.', 'Interact with APIs and SDKs to build command-line tools and HTTP APIs to solve and automate Machine Learning problems.']"
DeepLearning.AI,AI For Medical Treatment,AI For Medical Treatment,4.7,509,Intermediate level,"['Estimate treatment effects using data from randomized control trials', 'Explore methods to interpret diagnostic and prognostic models', 'Apply natural language processing to extract information from unstructured medical data']"
Vanderbilt University,OpenAI GPTs: Creating Your Own Custom AI Assistants,OpenAI GPTs: Creating Your Own Custom AI Assistants,5.0,60,Beginner level,[]
Nan,Nan,Nan,NaN,NaN,Beginner level,[]
New York Institute of Finance,Using Machine Learning in Trading and Finance,Using Machine Learning in Trading and Finance,3.9,350,Intermediate level,"['Design basic quantitative trading strategies ', 'Use Keras and Tensorflow to build machine learning models', 'Build a pair trading strategy prediction model and back test it.', 'Build a momentum-based trading model and back test it.']"
Tableau Learning Partner,Introduction to Tableau,Introduction to Tableau,4.8,117,Beginner level,"['Describe the value of data visualizations in the field of business analytics.', 'How to preprocess data using Tableau Public', 'How to combine data from multiple tables found within the same data source as well as other data sources in Tableau Public.']"
University of Amsterdam,Basic Statistics,Basic Statistics,4.6,4386,Beginner level,[]
Karlsruhe Institute of Technology,Machine Translation,Machine Translation,4.5,150,Intermediate level,[]
Rice University,Introduction to Data Analysis Using Excel,Introduction to Data Analysis Using Excel,4.7,10194,Intermediate level,[]
IBM,AI Capstone Project with Deep Learning,AI Capstone Project with Deep Learning,4.5,537,Advanced level,"['Build a deep learning model to solve a real problem.', 'Execute the process of creating a deep learning pipeline.', 'Apply knowledge of deep learning to improve models using real data.', 'Demonstrate ability to present and communicate outcomes of deep learning projects.']"
DeepLearning.AI,Custom and Distributed Training with TensorFlow,Custom and Distributed Training with TensorFlow,4.8,396,Intermediate level,[]
CertNexus,CertNexus Certified Artificial Intelligence Practitioner Professional Certificate,CertNexus Certified Artificial Intelligence Practitioner Professional Certificate,4.3,56,Intermediate level,"['Learn about the business problems that AI/ML can solve as well as the specific AI/ML technologies that can solve them.  ', 'Learn important tasks that make up the workflow, including data analysis and model training and about how machine learning tasks can be automated. ', 'Use ML algorithms to solve the two most common supervised problems regression and classification, and a common unsupervised problem: clustering.', 'Explore advanced algorithms used in both machine learning and deep learning. Build multiple models to solve business problems within a workflow.']"
IBM,Building Generative AI-Powered Applications with Python,Building Generative AI-Powered Applications with Python,4.7,10,Intermediate level,"['Explain the core concepts of generative AI models, AI technologies, and AI platforms such as IBM watsonx and Hugging Face.  ', 'Integrate and enhance large language models (LLMs) using RAG technology to infuse intelligence into apps and chatbots. ', 'Utilize Python libraries like Flask and Gradio to create web applications that interact with generative AI models. ', 'Build generative AI-powered applications and chatbots using generative AI models, Python, and related frameworks.']"
Coursera Instructor Network,Leveraging AI for Enhanced Content Creation,Leveraging AI for Enhanced Content Creation,4.8,36,Beginner level,"['Review the foundational concepts of Generative AI and its transformative impact on content creation.  ', 'Ideate and brainstorm using Google Bard, and draft compelling advertisement scripts with ChatGPT.  ', 'Visualize and create content using Bing Chat,Midjourney, and Runway.', 'Integrate and enhance content with voiceovers using Eleven Labs.']"
University of Washington,Data Science at Scale Specialization,Data Science at Scale Specialization,4.1,538,Intermediate level,[]
Duke University,Human Factors in AI,Human Factors in AI,4.7,79,Beginner level,"['Identify and mitigate privacy and ethical risks in AI projects', 'Apply human-centered design practices to design successful AI product experiences', 'Build AI systems that augment human intelligence and inspire model trust in users']"
Google Cloud,Analyzing and Visualizing Data in Looker,Analyzing and Visualizing Data in Looker,4.7,,Beginner level,"['Use dimensions, measures, filters, and pivots to analyze and visualize data', 'Create advanced metrics instantaneously with table calculations', 'Create visualizations using Looks and dashboards', 'Share Looker content with others']"
LearnQuest,Machine Learning for Supply Chains Specialization,Machine Learning for Supply Chains Specialization,3.7,48,Intermediate level,[]
IBM,Supervised Machine Learning: Regression,Supervised Machine Learning: Regression,4.7,526,Intermediate level,[]
Google Cloud,Launching into Machine Learning,Launching into Machine Learning,4.6,4276,Beginner level,"['Describe how to improve data quality and perform exploratory data analysis', 'Build and train AutoML Models using Vertex AI and BigQuery ML', 'Optimize and evaluate models using loss functions and performance metrics', 'Create repeatable and scalable training, evaluation, and test datasets']"
DeepLearning.AI,AI and Disaster Management,AI and Disaster Management,4.8,45,Beginner level,[]
The State University of New York,Practical Time Series Analysis,Practical Time Series Analysis,4.6,1667,Intermediate level,[]
University of Colorado Boulder,Data Analysis with Python Specialization,Data Analysis with Python Specialization,4.5,5,Intermediate level,"['Describe and define the fundamental concepts and techniques used in Data Analysis.  Identify the appropriate techniques to apply.', 'Compare and contrast different Data Analysis techniques, including Classification, Regression, Clustering, Dimension Reduction, and Association Rules', 'Design and implement effective Data Analysis workflows, including data preprocessing, feature selection, and model selection']"
Coursera Project Network,Getting Started with R,Getting Started with R,4.3,348,Beginner level,"['Understand the basics of the R language', 'Work with the R data types and structures']"
University of Pennsylvania,Business Analytics Capstone,Business Analytics Capstone,4.5,743,Intermediate level,[]
University of Michigan,Data Science Ethics,Data Science Ethics,4.7,926,Beginner level,"['Examine the ethical and privacy implications of collecting and managing big data.', 'Explore the broader impact of the data science field on modern society.', 'Understand who owns data, how we value privacy, how to receive informed consent and what it means to be fair.']"
Coursera Project Network,Copywriting with ChatGPT: Produce Compelling Copy That Sells,Copywriting with ChatGPT: Produce Compelling Copy That Sells,4.8,20,Beginner level,"['Master research techniques with ChatGPT to speed up audience insight gathering process and product USP generation', 'Develop compelling headlines and body copy using iterative refinement techniques', 'Optimize the AI-generated copy to ensure authenticity, making it resonate with human readers while effectively bypassing AI detection tools']"
Tableau Learning Partner,Data Visualization with Tableau,Data Visualization with Tableau,4.8,60,Beginner level,"['Identify the value and structure of Tableau Public as it applies to data visualization in the industry of business analytics.  ', ' Build interactive tables by connecting, preparing, and customizing data in Tableau Public.', ' Create data visualizations to communicate analytic insights to the intended audience, such as business stakeholders.']"
Tableau Learning Partner,Business Analysis Process,Business Analysis Process,4.7,68,Beginner level,"['Demonstrate an in-depth knowledge of the business analysis process.', 'Create a business requirements document that conforms to industry best practices.', 'Create a visual model of a business process.']"
Johns Hopkins University,Linear Algebra: Linear Systems and Matrix Equations,Linear Algebra: Linear Systems and Matrix Equations,4.6,44,Beginner level,[]
DeepLearning.AI,Generative Deep Learning with TensorFlow,Generative Deep Learning with TensorFlow,4.9,264,Intermediate level,[]
Coursera Project Network,ChatGPT for Beginners: Using AI for Market Research,ChatGPT for Beginners: Using AI for Market Research,4.2,16,Beginner level,"['Practice how to use ChatGPT platform & its core features.', 'Design surveys & polls, transcribe them into multiple languages', 'Generate Blog Post']"
University of Glasgow ,Generative Pre-trained Transformers (GPT),Generative Pre-trained Transformers (GPT),4.5,21,Intermediate level,"['You will learn the foundations, implementations, applications, and risks of GPT.']"
University of Illinois at Urbana-Champaign,Accounting Data Analytics Specialization,Accounting Data Analytics Specialization,4.6,170,Intermediate level,[]
Microsoft,Microsoft Azure for Data Engineering,Microsoft Azure for Data Engineering,4.5,579,Intermediate level,"['You will learn the various data platform technologies available, and how to take advantage of this technology to an organizations benefit.', 'Choose Microsoft Azure data technologies that meet different business needs and scale to meet demands securely', '', 'Describe common data engineering practices ', 'Explain the differences between on-premises and cloud data solutions ']"
University of Alberta,Prediction and Control with Function Approximation,Prediction and Control with Function Approximation,4.8,813,Intermediate level,[]
IBM,Applied Data Science Capstone,Applied Data Science Capstone,4.7,7042,Intermediate level,"['Demonstrate proficiency in data science and machine learning techniques using a real-world data set and prepare a report for stakeholders   ', 'Apply your skills to perform data collection, data wrangling, exploratory data analysis, data visualization model development, and model evaluation', 'Write Python code to create machine learning models including support vector machines, decision tree classifiers, and k-nearest neighbors  ', 'Evaluate the results of machine learning models for predictive analysis, compare their strengths and weaknesses and identify the optimal model   ']"
New York Institute of Finance,Reinforcement Learning for Trading Strategies,Reinforcement Learning for Trading Strategies,3.5,225,Intermediate level,"['Understand the structure and techniques used in reinforcement learning (RL) strategies.', 'Understand the benefits of using RL vs. other learning methods.', 'Describe the steps required to develop and test an RL trading strategy.', 'Describe the methods used to optimize an RL trading strategy.']"
Amazon Web Services,Introduction to Designing Data Lakes on AWS,Introduction to Designing Data Lakes on AWS,4.7,228,Intermediate level,[]
Databricks,Apache Spark (TM) SQL for Data Analysts,Apache Spark (TM) SQL for Data Analysts,4.5,506,Intermediate level,"['Ingest, transform, and query data to extract valuable insights.', 'Leverage existing SQL skills to start working with Apache Spark. ']"
Google Cloud,How Google does Machine Learning,How Google does Machine Learning,4.6,,Beginner level,"[""Describe Vertex AI Platform and how it's used to quickly build, train, and deploy AutoML machine learning models without writing any code"", 'Describe best practices for implementing machine learning on Google Cloud', 'Leverage Google Cloud tools and environment to do ML', 'Articulate Responsible AI best practices']"
IBM,Machine Learning with Apache Spark,Machine Learning with Apache Spark,4.6,61,Intermediate level,"[""Describe ML, explain its role in data engineering, summarize generative AI, discuss Spark's uses, and analyze ML pipelines and model persistence. "", 'Evaluate ML models, distinguish between regression, classification, and clustering models, and compare data engineering pipelines with ML pipelines. ', 'Construct the data analysis processes using Spark SQL, and perform regression, classification, and clustering using SparkML. ', 'Demonstrate connecting to Spark clusters, build ML pipelines, perform feature extraction and transformation, and model persistence. ']"
IBM,Deep Learning and Reinforcement Learning,Deep Learning and Reinforcement Learning,4.6,191,Intermediate level,[]
University of Alberta,A Complete Reinforcement Learning System (Capstone),A Complete Reinforcement Learning System (Capstone),4.7,623,Intermediate level,[]
Johns Hopkins University,Algorithms for DNA Sequencing,Algorithms for DNA Sequencing,4.7,882,Intermediate level,[]
Coursera ,Use Generative AI as Your Thought Partner,Use Generative AI as Your Thought Partner,4.9,31,Beginner level,"['Knowledge and hands-on experience using GenAI', 'The importance of critical thinking when interacting with LLMs', 'Understand not only what GenAI is but also how to use it to develop better ideas more quickly and sharpen your point of view', 'How to leverage AI to prepare for the future of work']"
University of Illinois at Urbana-Champaign,Text Mining and Analytics,Text Mining and Analytics,4.5,724,Beginner level,[]
University of Illinois at Urbana-Champaign,Data Mining Specialization,Data Mining Specialization,4.5,,Intermediate level,[]
IBM,Machine Learning Introduction for Everyone,Machine Learning Introduction for Everyone,4.5,212,Beginner level,"['Compare and contrast artificial intelligence, machine learning, and deep learning ', 'Explain the machine learning models development lifecycle    ', 'Differentiate between supervised and unsupervised machine learning   ', 'Evaluate classification models using metrics such as accuracy, confusion matrices, precision, and recall']"
Duke University,Inferential Statistics,Inferential Statistics,4.8,2645,Beginner level,[]
Johns Hopkins University,Principles of fMRI 1,Principles of fMRI 1,4.6,816,Beginner level,[]
Tableau Learning Partner,Advanced Data Visualization with Tableau,Advanced Data Visualization with Tableau,4.9,34,Beginner level,"['Create advanced data visualizations to communicate analytic insights, such as dual-axis charts, bar-in-bar charts, small multiples, and more.', 'Create and customize spatial analytics data visualizations to communicate insights, such as maps, geocoding, lasso and radial selection, and more. ', ' Add complexity to the visualizations produced in your analysis by incorporating motion and multi layers. ']"
Edureka,Learn Generative AI with LLMs Specialization,Learn Generative AI with LLMs Specialization,NaN,NaN,Intermediate level,[]
University of Illinois at Urbana-Champaign,Visualization for Data Journalism,Visualization for Data Journalism,4.5,67,Beginner level,[]
SAS,"Statistical Thinking for Industrial Problem Solving, presented by JMP","Statistical Thinking for Industrial Problem Solving, presented by JMP",4.8,83,Beginner level,"[' How to describe data with statistical summaries, and how to explore your data using advanced visualizations.     ', 'Understand statistical intervals, hypothesis tests and how to calculate sample size. ', 'How to fit, evaluate and interpret linear and logistic regression models.', 'How to build predictive models and conduct a statistically designed experiment.']"
University of Illinois at Urbana-Champaign,Data Visualization,Data Visualization,4.5,1366,Beginner level,[]
Duke University,Rust Fundamentals,Rust Fundamentals,4.0,67,Beginner level,"[""Apply Rust's core concepts like ownership, borrowing, and lifetimes to write efficient, reliable, and safe code. "", '', ""Use Rust's advanced features like enums, structs, traits, and generics to build robust applications. "", 'Develop, document, test and debug Rust projects using Cargo, Rust Analyzer, and other tools in the Rust ecosystem. ']"
IBM,Generative AI and LLMs: Architecture and Data Preparation,Generative AI and LLMs: Architecture and Data Preparation,NaN,NaN,Intermediate level,"['Differentiate between generative AI architectures and models, such as RNNs, Transformers, VAEs, GANs, and Diffusion Models.', 'Describe how LLMs, such as GPT, BERT, BART, and T5, are used in language processing.', 'Implement tokenization to preprocess raw textual data using NLP libraries such as NLTK, spaCy, BertTokenizer, and XLNetTokenizer.', 'Create an NLP data loader using PyTorch to perform tokenization, numericalization, and padding of text data.']"
Google,Google Business Intelligence Professional Certificate,Google Business Intelligence Professional Certificate,4.8,1421,Advanced level,"['Explore the roles of business intelligence (BI) professionals within an organization', 'Practice data modeling and extract, transform, load (ETL) processes that meet organizational goals ', 'Design data visualizations that answer business questions', 'Create dashboards that effectively communicate data insights to stakeholders']"
University of Michigan,"Foundations of Sports Analytics: Data, Representation, and Models in Sports","Foundations of Sports Analytics: Data, Representation, and Models in Sports",4.4,167,Intermediate level,"['Use Python to analyze team performance in sports.', 'Become a producer of sports analytics rather than a consumer.']"
University of London,Probability and Statistics: To p or not to p?,Probability and Statistics: To p or not to p?,4.6,1436,Beginner level,[]
Duke University,Business Metrics for Data-Driven Companies,Business Metrics for Data-Driven Companies,4.6,8355,Beginner level,[]
IBM,Supervised Machine Learning: Classification,Supervised Machine Learning: Classification,4.8,321,Intermediate level,[]
"University of California, Davis",Geospatial Analysis with ArcGIS,Geospatial Analysis with ArcGIS,4.5,37,Intermediate level,[]
"University of California, Santa Cruz",Bayesian Statistics: Techniques and Models,Bayesian Statistics: Techniques and Models,4.8,476,Intermediate level,"['Efficiently and effectively communicate the results of data analysis.', 'Use statistical modeling results to draw scientific conclusions.', 'Extend basic statistical models to account for correlated observations using hierarchical models.']"
Google Cloud,Feature Engineering,Feature Engineering,4.5,,Intermediate level,"['Describe Vertex AI Feature Store and compare the key required aspects of a good feature.', 'Perform feature engineering using BigQuery ML, Keras, and TensorFlow.', 'Discuss how to preprocess and explore features with Dataflow and Dataprep.', 'Use tf.Transform.']"
Google Cloud,TensorFlow on Google Cloud,TensorFlow on Google Cloud,4.4,,Intermediate level,"['Create TensorFlow and Keras machine learning models and describe their key components.', 'Use the tf.data library to manipulate data and large datasets.', 'Use the Keras Sequential and Functional APIs for simple and advanced model creation.', 'Train, deploy, and productionalize ML models at scale with Vertex AI.']"
University of Washington,Machine Learning Foundations: A Case Study Approach,Machine Learning Foundations: A Case Study Approach,4.6,,Intermediate level,[]
Vanderbilt University,"Introduction to Data, Signal, and Image Analysis with MATLAB","Introduction to Data, Signal, and Image Analysis with MATLAB",4.7,194,Intermediate level,"['Learners will understand how signals, images, and data are represented and manipulated in MATLAB ', 'Learners will gain experience with methods for data visualization, including high dimensional datasets in MATLAB', 'Learners will apply machine learning methods for data classification and prediction in MATLAB', 'Learners will learn essential signal frequency analysis and image processing methods in MATLAB']"
IBM,IBM AI Engineering Professional Certificate,IBM AI Engineering Professional Certificate,4.5,6185,Intermediate level,"['Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction ', '', 'Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn ', '', 'Deploy machine learning algorithms and pipelines on Apache Spark ', '', 'Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow ', '']"
Eindhoven University of Technology,Improving your statistical inferences,Improving your statistical inferences,4.9,779,Intermediate level,[]
Google Cloud,Production Machine Learning Systems,Production Machine Learning Systems,4.6,,Advanced level,"['Compare static versus dynamic training and inference', 'Manage model dependencies', 'Set up distributed training for fault tolerance, replication, and more', 'Export models for portability']"
Arizona State University,Dark Data Migration and Architecture Specialization,Dark Data Migration and Architecture Specialization,NaN,NaN,Beginner level,"['Learners will gain foundational knowledge of Dark Data and develop skills to support them in basic problem-solving for Dark Data.', 'Learners will gain working knowledge on the ULEADD approach to extracting value from data. ', 'Learners will gain next level thinking about value creation with Dark Data from a principled approach and demonstrate value creation skills.']"
SAS,Doing More with SAS Programming,Doing More with SAS Programming,4.8,923,Intermediate level,[]
Fractal Analytics,GenAI for Everyone,GenAI for Everyone,4.3,244,Beginner level,"['You will be able to discuss the fundamentals of Generative AI or GenAI, some applications of GenAI in daily life, and the responsible use of GenAI. ']"
Association of International Certified Professional Accountants,Introduction to Data Analytics for Accounting Professionals,Introduction to Data Analytics for Accounting Professionals,4.7,64,Beginner level,"['Define the characteristics of an analytical and data-driven mindset. ', 'Recognize how to establish the objectives and desired outcomes of a data analytics project for a business or client.', 'Recognize ways data is described and interpreted. ', 'Describe the types and categories of data. ']"
University of Colorado Boulder,Introduction to Machine Learning: Supervised Learning,Introduction to Machine Learning: Supervised Learning,3.4,48,Intermediate level,"['Use modern machine learning tools and python libraries.', 'Compare logistic regression’s strengths and weaknesses.', 'Explain how to deal with linearly-inseparable data.', 'Explain what decision tree is & how it splits nodes.']"
Meta,Introduction to Data Management,Introduction to Data Management,NaN,NaN,Beginner level,"['How to apply the fundamentals of data collection and data quality management', 'Different type data storage solutions and architectures, including big data management and how they are used', 'The fundamentals of data privacy and compliance, as well as the basics of machine learning']"
Vanderbilt University,GPT Vision: Seeing the World through Generative AI,GPT Vision: Seeing the World through Generative AI,4.8,34,Beginner level,"['Take a picture of notes on a marker board, receipts, or napkin sketches and watch them be turned into well-organized notes and emailed to you', 'Take a picture of anything and turn it into: a recipe, shopping list, DIY plans, a social media post, notes, budget entries, organizational plans', 'Learn or analyze anything, take a picture of anything and learn its history, how it was made, what has changed, how to fix it, what it is, etc.']"
Board Infinity ,Snowflake - SnowPro Core Certification Preparation,Snowflake - SnowPro Core Certification Preparation,NaN,NaN,Intermediate level,"['Understand Snowflake’s architecture, data management, and modeling techniques.', 'Effectively manage and optimize Snowflake environments.', ' Utilize advanced features and analytics in Snowflake for complex data operations.', 'Prepare thoroughly for the SnowPro Core Certification with an understanding of exam format and key topics.']"
Google,Google Data Analytics Professional Certificate,Google Data Analytics Professional Certificate,4.8,136342,Beginner level,"['Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job', 'Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) ', 'Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programming', 'Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms']"
"University of California, Davis",Learn SQL Basics for Data Science Specialization,Learn SQL Basics for Data Science Specialization,4.5,10020,Beginner level,"['Use SQL commands to filter, sort, & summarize data; manipulate strings, dates, & numerical data from different sources for analysis', 'Assess and create datasets to solve your business questions and problems using SQL', 'Use the collaborative Databricks workspace and create an end-to-end pipeline that reads data, transforms it, and saves the result', 'Develop a project proposal & select your data, perform statistical analysis & develop metrics, and present your findings & make recommendations']"
IBM,Data Analysis with R,Data Analysis with R,4.7,273,Intermediate level,"['Prepare data for analysis by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.', 'Compare and contrast predictive models using simple linear, multiple linear, and polynomial regression methods.', 'Examine data using descriptive statistics, data grouping, analysis of variance (ANOVA), and correlation statistics.', 'Evaluate a model for overfitting and underfitting conditions and tune its performance using regularization and grid search.']"
Coursera Project Network,Using Advanced Formulas and Functions in Excel,Using Advanced Formulas and Functions in Excel,3.3,32,Intermediate level,"['Create and apply several advanced excel functions to real world examples. ', 'Write and apply logic functions,  text functions and lookup and reference type queries. ']"
University of London,Doing Economics: Measuring Climate Change,Doing Economics: Measuring Climate Change,4.5,42,Beginner level,[]
Tableau Learning Partner,Data Analysis with Tableau,Data Analysis with Tableau,4.2,30,Beginner level,"['Apply Tableau techniques to manipulate and prepare data for analysis.', 'Perform exploratory data analysis using Tableau and report insights using descriptive statistics and visualizations.', ' Identify the benefits of the analytics feature in Tableau by utilizing this tool versus manually calculating the analytics.']"
University of Amsterdam,Inferential Statistics,Inferential Statistics,4.3,581,Beginner level,[]
University of Houston,Math behind Moneyball,Math behind Moneyball,4.5,97,Beginner level,[]
Google Cloud,Machine Learning Operations (MLOps): Getting Started,Machine Learning Operations (MLOps): Getting Started,4.0,420,Intermediate level,"['Identify and use core technologies required to support effective MLOps.', 'Adopt the best CI/CD practices in the context of ML systems.', 'Configure and provision Google Cloud architectures for reliable and effective MLOps environments.', 'Implement reliable and repeatable training and inference workflows.', '']"
Tableau Learning Partner,Data Ecosystem,Data Ecosystem,4.7,59,Beginner level,"[' Describe the purpose and applications of tabular data, databases, data warehouses, data lakes, and ETLs. ', ' Describe the importance of data quality and data governance in relation to data management. ', ' Identify the principles that form the foundation of modern data architecture. ']"
Google Cloud,Developing Data Models with LookML,Developing Data Models with LookML,4.8,,Intermediate level,"['Define LookML basic terms and building blocks', 'Model new dimensions and measures using LookML and use dashboards to combine key queries and visualizations into a one page executive view', 'Model files of LookML projects to design and build custom Explores for business users', 'Use derived tables in Looker to create new custom tables and use datagroups to manage caching policies']"
University of Illinois at Urbana-Champaign,Text Retrieval and Search Engines,Text Retrieval and Search Engines,4.5,Recent,Intermediate level,[]
Google,Data Analysis with R Programming,Data Analysis with R Programming,4.8,9821,Beginner level,"['Describe the R programming language and its programming environment.', 'Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.', 'Describe the options for generating visualizations in R.', 'Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content.']"
Edge Impulse,Computer Vision with Embedded Machine Learning,Computer Vision with Embedded Machine Learning,4.8,122,Intermediate level,"['How to train and develop an image classification system using machine learning', 'How to train and develop an object detection system using machine learning', 'How to deploy a machine learning model to a microcontroller']"
Board Infinity ,Excel Essentials and Beyond,Excel Essentials and Beyond,NaN,NaN,Beginner level,"['Navigate Excel with confidence, leveraging essential tools and techniques for efficient data organization and presentation. ', 'Utilize advanced functions, date-time manipulation, and lookup techniques for in-depth data analysis and visualization. ', 'Design and implement dynamic dashboards, transforming complex data sets into insightful and actionable narratives. ', 'Master Pivot Tables, advanced charting methods, and visualization tools to extract and communicate critical insights effectively. ']"
IBM,Generative AI Language Modeling with Transformers,Generative AI Language Modeling with Transformers,NaN,NaN,Intermediate level,"['Explain the concept of attention mechanisms in transformers, including their role in capturing contextual information.', 'Describe language modeling with the decoder-based GPT and encoder-based BERT.', 'Implement positional encoding,  masking, attention mechanism, document classification, and create LLMs like GPT and BERT.', 'Use transformer-based models and PyTorch functions for text classification, language translation, and modeling.']"
Duke University,MLOps Tools: MLflow and Hugging Face,MLOps Tools: MLflow and Hugging Face,3.8,24,Advanced level,"['Create new MLflow projects to create and register models.', 'Use Hugging Face models and datasets to build your own APIs.', 'Package and deploy Hugging Face to the Cloud using automation.']"
Microsoft,Microsoft Azure Machine Learning for Data Scientists,Microsoft Azure Machine Learning for Data Scientists,4.3,115,Intermediate level,"['Identify different kinds of machine learning models ', 'How to use the automated machine learning capability of Azure Machine Learning to train and deploy a predictive model', 'Create regression, classification, and clustering models using Azure Machine Learning designer', 'Use Azure Machine Learning to create and publish models without writing code']"
SAS,Getting Started with SAS Visual Analytics,Getting Started with SAS Visual Analytics,4.7,847,Beginner level,[]
Arizona State University,Experimental Design Basics,Experimental Design Basics,4.7,257,Intermediate level,"['By the end of this course, you will be able to:', 'Approach complex industrial and business research problems and address them through a rigorous, statistically sound experimental strategy', 'Use modern software to effectively plan experiments', 'Analyze the resulting data of an experiment, and communicate the results effectively to decision-makers.']"
"University of California, Davis",Visual Analytics with Tableau,Visual Analytics with Tableau,4.6,1818,Beginner level,"[' Create a chart using Tableau  ', ' Create dates using calculated fields  ', ' Customize table calculations  ', ' Customize and create dual layer maps  ']"
Edureka,Mastering Power BI for Data Analytics & Storytelling Specialization,Mastering Power BI for Data Analytics & Storytelling Specialization,4.6,5,Intermediate level,[]
EIT Digital ,Web of Data,Web of Data,4.1,85,Intermediate level,[]
Eindhoven University of Technology,Process Mining: Data science in Action,Process Mining: Data science in Action,4.7,1192,Intermediate level,[]
University of Minnesota,Recommender Systems Specialization,Recommender Systems Specialization,4.4,,Intermediate level,[]
Coursera Project Network,Power BI for Beginners Introduction to DAX Language,Power BI for Beginners Introduction to DAX Language,4.5,20,Beginner level,"['Create some DAX formulas to create calculated tables and columns  ', ' Create calculated measures using variables, date and aggregation functions  ', ' Create measures using filter functions and iterators ']"
"University of California, Davis",Essential Design Principles for Tableau,Essential Design Principles for Tableau,4.4,1997,Beginner level,"['Examine and improve an ineffective visualization', ' Examine and improve an ineffective visualization', ' Apply visualization best practices', ' Create and design visualizations that work best for the target audience  ']"
Duke University,MLOps Platforms: Amazon SageMaker and Azure ML,MLOps Platforms: Amazon SageMaker and Azure ML,3.8,31,Advanced level,"['Apply exploratory data analysis (EDA) techniques to data science problems and datasets.', 'Build machine learning modeling solutions using both AWS and Azure technology.', 'Train and deploy machine learning solutions to a production environment using cloud technology.']"
SAS,Machine Learning Using SAS Viya,Machine Learning Using SAS Viya,4.7,100,Intermediate level,[]
University of Washington,Social Media Data Analytics,Social Media Data Analytics,4.1,289,Intermediate level,[]
IBM,Generative AI: Business Transformation and Career Growth,Generative AI: Business Transformation and Career Growth,4.7,40,Beginner level,"['Explain the transformative impact of generative AI on the business and industry landscape. ', 'Explore potential career opportunities in generative AI.', 'Analyze how generative AI can enhance existing careers in diverse fields.', 'Apply generative AI to boost your productivity at work.']"
SAS,Statistics with SAS,Statistics with SAS,4.7,288,Intermediate level,[]
University of Michigan,"Applied Plotting, Charting & Data Representation in Python","Applied Plotting, Charting & Data Representation in Python",4.5,6228,Intermediate level,"['Describe what makes a good or bad visualization', 'Understand best practices for creating basic charts', 'Identify the functions that are best for particular problems', 'Create a visualization using matplotlb']"
Microsoft,Data Storage in Microsoft Azure,Data Storage in Microsoft Azure,4.3,168,Intermediate level,"['You will learn the basics of storage management in Azure, how to create a Storage Account, and how to choose the right model for your data.', 'Design and implement data storage and data security', '', 'Design and develop data processing', 'Monitor and optimize data storage and data processing']"
University of Colorado Boulder,Data Science Foundations: Statistical Inference Specialization,Data Science Foundations: Statistical Inference Specialization,4.3,149,Intermediate level,[]
PwC,Data Analysis and Presentation Skills: the PwC Approach Final Project,Data Analysis and Presentation Skills: the PwC Approach Final Project,4.7,248,Beginner level,[]
IBM,Generative AI: Enhance your Data Analytics Career,Generative AI: Enhance your Data Analytics Career,4.7,16,Intermediate level,"['Describe how you can use Generative AI tools and techniques in the context of data analytics across industries', 'Implement various data analytic processes such as data preparation, analysis, visualization and storytelling using Generative AI tools', 'Evaluate real-world case studies showcasing the successful application of Generative AI in deriving meaningful insights ', ' Analyze the ethical considerations and challenges associated with using Generative AI in data analytics']"
University of Minnesota,Analytics for Decision Making Specialization,Analytics for Decision Making Specialization,4.8,130,Beginner level,[]
